CourseCode	ShortTitle	LongTitle	BeginTime	EndTime	Meets	Building	Room	Enrollment	Capacity	Professor
PSYC 404  A	ADV RESEARCH	ADVANCED RESEARCH METHODS	14:30:00	15:45:00	TR	HAL	215	12	14	Dr. Wolfe
PSYC 404  A	ADV RESEARCH	ADVANCED RESEARCH METHODS	15:00:00	15:50:00	W	HAL	115	12	14	Dr. Wolfe
PSYC 404  B	ADV RESEARCH	ADVANCED RESEARCH METHODS	12:00:00	12:50:00	MWF	HAL	215	13	13	Dr. Wolfe
PSYC 404  B	ADV RESEARCH	ADVANCED RESEARCH METHODS	15:00:00	15:50:00	W	HAL	212	13	15	Dr. Wolfe
PSYC 480  A	INTERN IN PSYC	INTERNSHIP IN PSYCHOLOGY	NULL	NULL		NULL	NULL	1	1	Dr. Wolfe
RELI 212  A	NEW TEST LIT	NEW TESTAMENT LIT/HIST	10:00:00	10:50:00	MWF	HAL	113	39	46	Dr. Wolfe
RELI 212  B	NEW TEST LIT	NEW TESTAMENT LIT/HIST	11:00:00	11:50:00	MWF	HAL	113	34	40	Dr. Wolfe
RELI 212  C	NEW TEST LIT	NEW TESTAMENT LIT/HIST	12:00:00	12:50:00	MWF	HAL	113	14	14	Dr. Wolfe
RELI 214  A	SYST THEO I	SYSTEMATIC THEOLOGY II	14:00:00	14:50:00	MWF	HAL	308	50	60	Dr. Wolfe
RELI 237  A	BIB BOOKS-PSALM	BIBLICAL BOOKS-PSALMS	12:00:00	12:50:00	MWF	HAL	302	26	31	Dr. Wolfe
RELI 237  B	BIB BKS-EPISTLE	BIBLICAL BOOKS-PASTORAL EPISTLES	13:00:00	13:50:00	MWF	HAL	302	18	18	Dr. Wolfe
RELI 237  C	BIBL BKS-HEBREW	BIBLICAL BOOKS- HEBREWS	10:05:00	11:20:00	TR	HAL	113	41	49	Dr. Wolfe
RELI 237  D	BIBL BKS-HEBREW	BIBLICAL BOOKS-HEBREWS	11:30:00	12:45:00	TR	HAL	113	27	32	Dr. Wolfe
RELI 237  E	BIBL BKS-MINOR	BIBLICAL BOOKS-MINOR PROPHETS	13:00:00	14:15:00	TR	HAL	314	25	30	Dr. Wolfe
RELI 251  A	MAN CHRIST MIN	MANAGING CHRISTIAN MINISTRY	10:00:00	10:50:00	MWF	HAL	304	25	25	Dr. Wolfe
RELI 261  A	C.S. LEWIS	C.S. LEWIS:CHRISTIAN APOLOGIST	10:00:00	10:50:00	MWF	HAL	310	61	73	Dr. Wolfe
RELI 290  A	VISION/VALUES	STUDY: VISION AND VALUES CONF	NULL	NULL		NULL	NULL	13	15	Dr. Wolfe
RELI 343  A	REL/HIST COL AM	RELIGION/HIST IN COLONIAL AMERICA	09:00:00	09:50:00	MWF	HAL	115	21	25	Dr. Wolfe
RELI 390  A	STUDY:BIBL COUN	STUDY:BIBLICAL COUNSELING	18:30:00	21:00:00	M	HAL	314	10	10	Dr. Wolfe
RELI 460  A	INDEPENDENT STU	INDEPENDENT STUDY	NULL	NULL		NULL	NULL	1	1	Dr. Wolfe
RELI 460  C	INDEPENDENT STU	INDEPENDENT STUDY	NULL	NULL		NULL	NULL	1	1	Dr. Wolfe
RELI 470  A	INDEPEND RSRCH	INDEPENDENT RESEARCH	NULL	NULL		NULL	NULL	1	1	Dr. Wolfe
RELI 480  A	INTERN IN RELI	INTERNSHIP IN RELIGION	NULL	NULL		NULL	NULL	1	1	Dr. Wolfe
RELI 480  B	INTERN IN RELI	INTERNSHIP IN RELIGION	NULL	NULL		NULL	NULL	1	1	Dr. Wolfe
SCIC 201  A	FUND OF UNIVERS	FUNDAMENTALS OF THE UNIVERSE	10:05:00	11:20:00	TR	STEM	51	58	69	Dr. Wolfe
SCIC 201  L    L	LABORATORY	LABORATORY	13:00:00	14:59:00	T	RO	300	30	36	Dr. Wolfe
SCIC 201  M    L	LABORATORY	LABORATORY	15:00:00	16:59:00	T	RO	300	28	33	Dr. Wolfe
SCIC 202  A	LIFE SCIENCE	LIFE SCIENCE	10:05:00	11:20:00	TR	HAL	210	45	54	Dr. Wolfe
SCIC 202  B	LIFE SCIENCE	LIFE SCIENCE	11:30:00	12:45:00	TR	HAL	210	43	43	Dr. Wolfe
SCIC 202  L    L	LABORATORY	LABORATORY	15:30:00	17:29:00	W	STEM	126	29	34	Dr. Wolfe
SCIC 202  M    L	LABORATORY	LABORATORY	13:00:00	14:59:00	R	STEM	126	31	37	Dr. Wolfe
SCIC 202  N    L	LABORATORY	LABORATORY	15:00:00	16:59:00	R	STEM	126	28	33	Dr. Wolfe
SCIC 203  A	ATOMS-MOLECULES	"ATOMS, MOLECULES & MATERIAL WORLD"	11:00:00	11:50:00	MWF	RO	218	47	56	Dr. Wolfe
SCIC 203  L    L	LABORATORY	LABORATORY	13:00:00	14:59:00	M	STEM	126	23	27	Dr. Wolfe
SCIC 203  M    L	LABORATORY	LABORATORY	15:00:00	16:59:00	M	STEM	126	24	28	Dr. Wolfe
SCIC 204  A	ENVIRON SCIENCE	ENVIRONMENTAL SCIENCE	08:00:00	09:15:00	TR	STEM	51	60	60	Dr. Wolfe
SCIC 204  L    L	LABORATORY	LABORATORY	13:00:00	14:59:00	T	STEM	126	30	36	Dr. Wolfe
SCIC 204  M    L	LABORATORY	LABORATORY	15:00:00	16:59:00	T	STEM	126	30	30	Dr. Wolfe
SEDU 101  A	EXCEPT LEARNERS	EXCEPTIONAL LEARNERS	13:00:00	14:15:00	TR	HAL	115	26	31	Dr. Wolfe
SEDU 101  B	EXCEPT LEARNERS	EXCEPTIONAL LEARNERS	14:00:00	14:50:00	MWF	HAL	110	34	40	Dr. Wolfe
SEDU 204  A	ED ASSESS  SEDU	EDUC ASSESS IN SPECIAL EDUCATION	18:30:00	21:00:00	M	HAL	112	14	14	Dr. Wolfe
SEDU 205  A	CONSULT/LIT/TRN	"CONSULT, LITIGATION, & TRANSITION"	18:00:00	20:30:00	W	HAL	109	13	13	Dr. Wolfe
SEDU 309  A	HIGH INCI DISAB	EVID BASE INSTR HIGH INCID DISABIL	14:30:00	15:45:00	TR	HAL	115	20	20	Dr. Wolfe
SEDU 310  A	EFF PRAC/DELIV	EFFECTIVE PRACTICES & DELIVERY	NULL	NULL		TBA	NULL	20	20	Dr. Wolfe
SEDU 411  A	SEDU STU TEACH	SPECIAL EDUCATION STUDENT TEACHING	NULL	NULL		NULL	NULL	12	14	Dr. Wolfe
SEDU 412  A	PRAC/PROF DEV	PRACTICUM OF PROFESSIONAL DEVELOP	16:00:00	17:00:00	M	HAL	116	12	12	Dr. Wolfe
